,NDCG,competition_score,map10,map2,map20,map5,name,recall,user success
25,0.0583454713713,72628.3421442,0.0356053555052,0.03895,0.0363708915678,0.0358010277778,k_int_1_shrink_10_knn_750_KNN=500_pools=interactions.csv,0.0886442107211,0.1936
24,0.0583454713713,72628.3421442,0.0356053555052,0.03895,0.0363708915678,0.0358010277778,k_int_1_shrink_10_knn_500_KNN=500_pools=interactions.csv,0.0886442107211,0.1936
0,0.0733702980388,82840.6117491,0.0509575894916,0.0615061506151,0.0510805913373,0.0526297074152,CB/content_jaccard_based.csv,0.0940666320751,0.205820582058
26,0.0754205586262,92657.7100329,0.0463119191232,0.04895,0.0470571040084,0.0460582222222,k_int_1_shrink_1_knn_750_prova_user_KNN=50_pools=interactions.csv,0.110261050164,0.2434
27,0.0754223622423,92672.3026255,0.0462972860292,0.048875,0.0470478136199,0.0460434722222,k_int_1_shrink_10_knn_750_prova_user_KNN=50_pools=interactions.csv,0.110349013127,0.2436
28,0.0754926617686,92771.6597683,0.0463220736332,0.048875,0.0470875606961,0.0460520555556,k_int_1_shrink_20_knn_750_prova_user_KNN=50_pools=interactions.csv,0.110571632175,0.2439
29,0.0754544581597,92807.4931017,0.0462698935185,0.0489,0.0470395158575,0.0460578055556,k_int_1_shrink_30_knn_750_prova_user_KNN=50_pools=interactions.csv,0.110600798842,0.244
30,0.0732231133991,92194.3702396,0.0431630208333,0.0458,0.0441349263179,0.0427656666667,k_int_3_shrink_10_knn_750_prova_user_KNN=50_pools=interactions.csv,0.111576851198,0.2443
31,0.0717621821549,91012.1618938,0.0417907331822,0.0443,0.0428752877091,0.0416616944444,k_int_3_shrink_10_knn_750_prova_user_KNN=500_pools=interactions.csv,0.111964142802,0.2424
32,0.083435365821,95259.9639704,0.0559090864512,0.06775,0.0564235230222,0.0574968333333,CB/sub[30]_tf_idf_user_item_shrink=0.csv,0.112333153185,0.2376
33,0.0748138181634,92955.2891023,0.044826372323,0.046975,0.0458591646755,0.0448028333333,k_int_1_shrink_1_knn_750_prova_user_KNN=500_pools=interactions.csv,0.113573112178,0.246
34,0.0748473091535,93011.1246653,0.0448214375472,0.0469,0.0458342334843,0.0447640833333,k_int_1_shrink_10_knn_750_prova_user_KNN=500_pools=interactions.csv,0.113809789993,0.2461
35,0.0748178994202,92999.8468875,0.0447781214097,0.046925,0.0458022557612,0.044763,k_int_1_shrink_30_knn_750_prova_user_KNN=500_pools=interactions.csv,0.113823401104,0.2461
36,0.0748801855428,93065.9579986,0.0448238767007,0.046975,0.0458451754739,0.0447811666667,k_int_1_shrink_20_knn_750_prova_user_KNN=500_pools=interactions.csv,0.113945623327,0.2462
37,0.073202791519,92800.4643279,0.042527275211,0.044925,0.0436710766477,0.0421965555556,k_int_3_shrink_10_knn_750_prova_user_KNN=100_pools=interactions.csv,0.11398982164,0.2468
38,0.0849969243089,96668.6110441,0.0570835849868,0.06935,0.057594395457,0.058839,CB/sub[30]_tf_idf_user_item_shrink=10.csv,0.114032221887,0.2402
39,0.0761881412972,94357.051042,0.0457335395566,0.047675,0.0467908738598,0.0453708333333,k_int_1_shrink_1_knn_750_prova_user_KNN=100_pools=interactions.csv,0.11487525521,0.2489
40,0.0762133526223,94451.6814768,0.0456826643676,0.047625,0.0467389290959,0.0453262777778,k_int_1_shrink_10_knn_750_prova_user_KNN=100_pools=interactions.csv,0.115144240717,0.2491
41,0.0859587211871,97805.1648654,0.0577300588939,0.070425,0.0582525876958,0.0596787222222,CB/sub[30]_tf_idf_user_item_shrink=20.csv,0.115180824327,0.2424
42,0.0859673179188,97805.1648654,0.0577358324772,0.0704320432043,0.0582584135372,0.0596846906913,sub_tf_idf_user_item_shrink=20.csv,0.115192343561,0.242424242424
43,0.0762185461389,94485.1814768,0.0456569877803,0.047625,0.0467213718911,0.0453470277778,k_int_1_shrink_30_knn_750_prova_user_KNN=100_pools=interactions.csv,0.115252574051,0.2493
44,0.0762421405851,94479.1814768,0.0456666114575,0.04765,0.0467276300354,0.0453393611111,k_int_1_shrink_20_knn_750_prova_user_KNN=100_pools=interactions.csv,0.115285907384,0.2492
45,0.0928766063911,76977.6014348,0.0638791490558,0.0708001675744,0.0635621323962,0.0654430247172,sub_interactions.csv,0.115742224793,0.270353302611
46,0.0817716122784,88602.9896017,0.0512778866964,0.0605622846983,0.0523652621066,0.0520903557185,TFIDFMarco_w1=1_w2=14_w3=18_w4=-04_wtag=1_wtitle=3_wj=3.csv,0.120857815322,0.254472719191
47,0.0822376966513,88691.4135173,0.0513872412139,0.0607186766514,0.0525037267371,0.0523373446096,TFIDFMarco_1_12_14_0_1_3_3.csv,0.121913752379,0.256845870124
48,0.0915615667281,96544.594082,0.058495795331,0.068011624008,0.0595666065464,0.0594658048011,TFIDFMarco_w1_01_w2_12_w3_14_w4_00_wtag_1_wtitle_2_wj_2.csv,0.133613282378,0.275287805968
49,0.0930285409085,97948.032977,0.0595424211447,0.0688778361462,0.0604338511959,0.0604680960719,TFIDFMarco_1_12_14_0_1_15_15.csv,0.135111581034,0.279535039678
